DOI,Core composition,Shell composition,Area/volume,Max/min(size),Magnetic moment of core,Spin of surface elements,Saturation magnetization,LogP of organic coating,Number H acceptors of organic coating,Field strength,r1 relaxivity
https://doi.org/10.1016/j.mri.2022.09.009,Fe1Fe2O4,,0.353,0.000,2.391,1.000,54.820,0.000,0.000,0.300,16.850
https://doi.org/10.1016/j.mri.2022.09.009,Fe1Fe2O4,PVA,0.438,0.000,2.391,1.000,39.620,0.693,2.000,0.300,19.090
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.375,0.000,2.391,1.000,65.910,-1.127,3.000,3.000,5.400
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,1.153,0.000,2.391,1.000,34.727,-1.127,3.000,3.000,3.500
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.810,0.000,2.391,1.000,16.000,-1.127,3.000,3.000,7.000
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.810,0.000,2.391,1.000,16.000,-1.127,3.000,7.000,0.900
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.625,0.000,2.391,1.000,29.000,-1.127,3.000,3.000,6.000
https://doi.org/10.3390/nano12193304,Fe2O3,,0.384,0.000,2.368,1.000,69.300,0.000,0.000,1.500,12.000
https://doi.org/10.3390/nano12193304,Zn0.26Mn0.23Fe1.51O3,,0.389,0.000,2.060,0.870,91.500,0.000,0.000,1.500,24.000
https://doi.org/10.3390/nano12193304,Fe2O3,,0.193,0.000,2.368,1.000,82.900,0.000,0.000,1.500,12.000
https://doi.org/10.3390/nano12193304,Zn0.24Fe1.76O3,,0.224,0.000,2.084,0.880,97.200,0.000,0.000,1.500,22.000
https://doi.org/10.1155/2022/5066167,Ni1Fe2O4,,0.100,0.000,2.096,0.929,46.700,0.000,0.000,0.350,7.710
https://doi.org/10.1016/j.ceramint.2021.08.308,Mn1Fe2O4,sodium citrate,0.638,0.000,2.537,1.071,35.700,-5.253,7.000,7.000,4.273
https://doi.org/10.1039/D1NR03335B,Fe1Fe2O4,,0.167,0.000,2.391,1.000,64.000,0.000,0.000,1.410,12.000
https://doi.org/10.1039/D1NR03335B,Fe1Fe2O4,,0.136,0.000,2.391,1.000,88.000,0.000,0.000,1.410,10.000
https://doi.org/10.1039/D1NR03335B,Fe1Fe2O4,,0.167,0.000,2.391,1.000,104.000,0.000,0.000,1.410,17.000
https://doi.org/10.1039/D1NR03335B,Fe1Fe2O4,,0.107,0.000,2.391,1.000,89.000,0.000,0.000,1.410,8.000
https://doi.org/10.1021/acsomega.0c05382,Mn1Fe2O4,PEG,0.049,0.000,2.537,1.071,37.730,-1.029,2.000,7.000,3.567
https://doi.org/10.2147/IJN.S322894,Fe1Fe2O4,Au,0.120,0.000,2.391,1.000,51.000,0.000,0.000,3.000,21.967
https://doi.org/10.1016/j.jcis.2020.06.011,Fe1Fe2O4,DMSA,0.428,0.000,2.391,1.000,76.000,-0.248,4.000,1.500,22.100
https://doi.org/10.1016/j.jcis.2020.06.011,Mn0.1Fe0.9Fe2O4,DMSA,0.428,0.000,2.406,1.007,65.000,-0.248,4.000,1.500,17.200
https://doi.org/10.1016/j.jcis.2020.06.011,Mn0.13Fe0.87Fe2O4,DMSA,0.428,0.000,2.410,1.009,60.000,-0.248,4.000,1.500,16.500
https://doi.org/10.1016/j.jcis.2020.06.011,Mn0.19Fe0.81Fe2O4,DMSA,0.428,0.000,2.419,1.014,72.000,-0.248,4.000,1.500,16.500
https://doi.org/10.1016/j.jcis.2020.06.011,Mn0.23Fe0.77Fe2O4,DMSA,0.428,0.000,2.425,1.016,69.000,-0.248,4.000,1.500,15.200
https://doi.org/10.1016/j.jcis.2020.06.011,Mn0.3Fe0.7Fe2O4,DMSA,0.428,0.000,2.435,1.021,62.000,-0.248,4.000,1.500,17.200
https://doi.org/10.1016/j.jcis.2020.06.011,Mn0.5Fe0.5Fe2O4,DMSA,0.428,0.000,2.464,1.036,51.000,-0.248,4.000,1.500,8.300
