DOI,Core composition,Shell composition,Concentration of particles,Area/volume,Max/min(size),Magnetic moment of core,Saturation magnetization,Coercivity,Remanence magnetization,LogP of organic coating,Number H acceptors of organic coating,Field amplitude,Field frequency,SAR
https://doi.org/10.1016/j.jallcom.2022.167241,Ni1Fe2O4,,1.000,0.084,0.000,2.096,44.420,0.000,0.000,0.000,0.000,174.700,0.276,16.000
https://doi.org/10.1016/j.jallcom.2022.167241,Ni0.5Zn0.5Fe2O4,,1.000,0.064,0.000,1.894,77.100,0.000,0.000,0.000,0.000,174.700,0.276,23.000
https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,Au1,10.000,0.158,0.000,2.391,66.000,0.000,0.000,0.000,0.000,168.000,0.101,4.700
https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,Au1,10.000,0.158,0.000,2.391,66.000,0.000,0.000,0.000,0.000,168.000,0.234,10.400
https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,Au1,10.000,0.158,0.000,2.391,66.000,0.000,0.000,0.000,0.000,168.000,0.359,16.000
https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,Au1,10.000,0.158,0.000,2.391,66.000,0.000,0.000,0.000,0.000,168.000,0.405,17.000
https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,Au1,10.000,0.158,0.000,2.391,66.000,0.000,0.000,0.000,0.000,80.000,0.405,1.700
https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,Au1,10.000,0.158,0.000,2.391,66.000,0.000,0.000,0.000,0.000,100.000,0.405,3.700
https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,Au1,10.000,0.158,0.000,2.391,66.000,0.000,0.000,0.000,0.000,120.000,0.405,8.400
https://doi.org/10.1016/j.matchemphys.2022.126859,Fe1Fe2O4,Au1,10.000,0.158,0.000,2.391,66.000,0.000,0.000,0.000,0.000,120.000,0.405,13.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,,1.000,0.316,0.000,2.246,81.110,0.000,0.000,0.000,0.000,440.000,0.350,249.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,,2.000,0.316,0.000,2.246,81.110,0.000,0.000,0.000,0.000,440.000,0.350,161.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,,3.000,0.316,0.000,2.246,81.110,0.000,0.000,0.000,0.000,440.000,0.350,133.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,,4.000,0.316,0.000,2.246,81.110,0.000,0.000,0.000,0.000,440.000,0.350,120.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,,5.000,0.316,0.000,2.246,81.110,0.000,0.000,0.000,0.000,440.000,0.350,118.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,oleic acid,1.000,0.288,0.000,2.246,76.900,0.000,0.000,6.109,1.000,440.000,0.350,213.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,oleic acid,2.000,0.288,0.000,2.246,76.900,0.000,0.000,6.109,1.000,440.000,0.350,140.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,oleic acid,3.000,0.288,0.000,2.246,76.900,0.000,0.000,6.109,1.000,440.000,0.350,117.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,oleic acid,4.000,0.288,0.000,2.246,76.900,0.000,0.000,6.109,1.000,440.000,0.350,105.000
https://doi.org/10.1021/acsomega.0c03332,Co1Fe2O4,oleic acid,5.000,0.288,0.000,2.246,76.900,0.000,0.000,6.109,1.000,440.000,0.350,104.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,1.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,138.000,0.322,51.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,2.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,138.000,0.322,47.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,3.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,138.000,0.322,42.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,4.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,138.000,0.322,36.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,5.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,138.000,0.322,30.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,1.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,188.000,0.320,66.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,2.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,188.000,0.320,61.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,3.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,188.000,0.320,54.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,4.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,188.000,0.320,46.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,5.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,188.000,0.320,40.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,1.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,239.000,0.318,83.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,2.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,239.000,0.318,78.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,3.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,239.000,0.318,70.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,4.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,239.000,0.318,59.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,5.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,239.000,0.318,50.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,1.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,289.000,0.316,102.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,2.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,289.000,0.316,94.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,3.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,289.000,0.316,83.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,4.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,289.000,0.316,74.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,5.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,289.000,0.316,64.000
https://doi.org/10.1016/j.materresbull.2022.112035,Fe1Fe2O4,,1.000,0.150,0.000,2.391,59.000,0.000,0.000,0.000,0.000,339.000,0.314,122.000
