DOI,Core composition,Shell composition,Area/volume,Max/min(size),Magnetic moment of core,Spin of surface elements,Saturation magnetization,LogP of organic coating,Number H acceptors of organic coating,Field strength,r2 relaxivity
https://doi.org/10.1016/j.mri.2022.09.009,Fe1Fe2O4,,0.353,0.000,2.391,1.000,54.820,0.000,0.000,0.300,120.840
https://doi.org/10.1016/j.mri.2022.09.009,Fe1Fe2O4,PVA,0.438,0.000,2.391,1.000,39.620,0.693,2.000,0.300,125.860
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,1.199,0.000,2.391,1.000,44.333,-1.127,3.000,3.000,14.000
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.375,0.000,2.391,1.000,63.667,-1.127,3.000,3.000,154.200
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.908,0.000,2.391,1.000,49.600,-1.127,3.000,3.000,31.900
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.789,0.000,2.391,1.000,32.060,-1.127,3.000,3.000,27.800
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.810,0.000,2.391,1.000,16.000,-1.127,3.000,3.000,34.000
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.810,0.000,2.391,1.000,16.000,-1.127,3.000,7.000,48.900
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.749,0.000,2.391,1.000,44.000,-1.127,3.000,3.000,34.600
https://doi.org/10.1186/s12951-022-01562-y,Fe1Fe2O4,PASP,0.625,0.000,2.391,1.000,60.200,-1.127,3.000,3.000,38.800
https://doi.org/10.3390/nano12193304,Fe2O3,,0.384,0.000,2.368,1.000,69.300,0.000,0.000,1.500,108.000
https://doi.org/10.3390/nano12193304,Zn0.26Mn0.23Fe1.51O3,,0.389,0.000,2.060,0.870,91.500,0.000,0.000,1.500,294.000
